sian:among students include mugging means studying hard siao meaning extreme meaning tired boring vanessa kin singapore <pad> <pad> <pad> <pad> 
sian:<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> one word singlish used many contexts accurately expresses emotions like 
sian:<pad> <pad> <pad> <pad> <pad> <pad> singlish everyday go work <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> 
sian:<pad> <pad> <pad> <pad> <pad> <pad> <pad> singlish plane delay <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> 
sian:<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> new lamborghini review <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> 
sian:<pad> beneath dramatic new carbonfibre skin styled internally lamborghinis designers almost exactly aventador svj <pad> <pad> <pad> <pad> <pad> <pad> 
sian:<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> slightly cynical car made lamborghini small fortune process despite costing 
sian:<pad> <pad> <pad> <pad> <pad> gearchanges also quite slow keep default startup mode strada street english leaves transmission auto <pad> 
sian:<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> mind begin feel like might worth outrageous amount money costs <pad> 
sian:<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> matter one cars rest us ever aspire photographs occasionally get glimpse 
sian:<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> move drives lot like looks say dramatically extreme <pad> <pad> <pad> 
sian:<pad> <pad> <pad> <pad> <pad> <pad> <pad> cant buy lamborghini fkp examples sold minute went sale frankfurt motor show remember 
